Profession: ,Field of work / stream: ,Hobbies,What you do from 6:00 am to 7:00 am?,What you do from 7:00 am to 8:00 am?,What you do from 8:00 am to 9:00 am?,What you do from 9:00 am to 10:00 am?,What you do from 10:00 am to 11:00 am?,What you do from 11:00 am to 12:00 pm?,What you do from 12:00 pm to 1:00 pm?,What you do from 1:00 pm to 2:00 pm?,What you do from 2:00 pm to 3:00 pm?,What you do from 3:00 pm to 4:00 pm?,What you do from 4:00 pm to 5:00 pm?,What you do from 5:00 pm to 6:00 pm?,What you do from 6:00 pm to 7:00 pm?,What you do from 7:00 pm to 8:00 pm?,What you do from 8:00 pm to 9:00 pm?,What you do from 9:00 pm to 10:00 pm?,What you do from 10:00 pm to 11:00 pm?,What you do from 11:00 pm to 6:00 am?
Software Engineer,Computer engineering ,Painting and cooking ,Sleep,Wake up and brush have hot lemon water ,Take a shower and then decide what to do today ,Work on things that I decided ,Work,Work,Work,Have lunch and a little time pass,Break ,Break and then back to work again,Work ,Work ,Break,Kitchen/ be with cats ,Kitchen ,Dinner ,Spend time with family ,Play games with family and then off to sleep 
Training and placement officer ,Assistant professor /civil engineering ,"Bodybuilding, Swimming, Listening music ",Go for morning walk,Workout in the gym,Have Breakfast & Get ready for office ,Reach office at 9am ,Office work,Office work,Office work,Lunch break ,Office work,Office work,Office work,Return to home and get vegetables and fruits for evening dinner ,Workout in gym ,Workout in gym ,Help in kitchen for making dinner ,Have lunch and watch tv,Watch tv,Sleep
Ethical Hacking,I.T,Hacking system,Sleeping,Sleeping,Sleeping,Sleeping,Fresh up,Hacking tool,Hacking tool,Lunch,Hacking tool,Hacking tool,Research & studies,Gaming time,Game,Out for walk,Walk,Dinner,Sleeping,Sleeping
Student,Civil engineering ,Sketcing reading and learnin  new things,Sleep,Sleep,Home chores,Certification courses,Online courses,Browsing,Online courses,Lunch,Rest,Rest,Home chores ,Sketching,Watch TV or anime,TV or Anime,TV or anime,Dinner,Reading,Sleep
Student,Mechanical Engineering,"Cricket, stamp and coin collection, cycling, drawing, art and craft",Sleep,Jogging,Get Fresh and Bath,Breakfast and TV,Lecture,Lecture,Lecture,Lecture,Lecture + Lunch,Lecture,Lecture,Snacks & TV,Play Games on Laptop/Mobile,Homework and study,Homework and Study,TV and Dinner,Evening Walk ,Sleep
Student,Electrical engineering,"Drama, cycling, football",Sleep,Sleep,Sleep,Lecture,Lecture,Lecture,Lecture,Lunch,Entertainment,Entertainment,Entertainment,Cycling,Cycling,Rest,Entertainment,Entertainment,Entertainment,Research and sleep
Student,IT Engineering,Dancing and Trekking,Sleeping time,Sleeping time,Wake up,Lectures,Lecture and breakfast,Lectures,Lectures,Lunch, Planning for the day,Household chores,Learn something new our my entertainment time,Snacks Time,Webinars and homework,Webinars and homework,Webinars and homework,Family time,Dinner time, Research about something and go to sleep
Student ,Commerce ,"Writing, dancing, travelling, quilling.",I practice typing ,I eat breakfast and read books ,I read books ,I read books ,I learn Korean,I wash clothes ,I help in cooking ,I eat food and wash utensils,I surf through YouTube ,I sleep ,I make tea and zone out ,I write stories ,I listen music ,I watch TV,I watch TV ,I write stories ,I chat through Whatsapp ,I listen music and sleep 
Job,Sim card,Reading,Sleep,Sleep,Sleep,Wake up,Breakfast,On duty,Same as above,Same as above,Same,Same,Same,Same,Same,Same,Same,Eating dinner,Using phone,Sleep
Job,Share marketcooking,Cooking singing ,Sleeping ,Sleeping ,Breakfast ,On duty,Same,Same,Same,Same,Same,Same ,Same ,Same,Facebook watsapp insta,Sleeping ,Dinner ,Watching movie,Same,Sleeping 
